Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1607684	0	0	0	0.100294604194682	0	0.0374606397952059	0.116659039724472	0.111505584990751	0	0.099160874089413	0	0.178373518117658	0.0375058437560654	0.00541405187734956	0.122056276487305	0.0399062913735686	0.0323334043296635	0	0	0.119329871263867	0	0	0.002	0.344831667565899	0.957818628775081
GSM1607685	0	0.0486162191502321	0.02119656280645	0.101351912755303	0.0718841608097149	0	0	0.0512974169005203	0.091211208154221	0.111260493862511	0	0.187424068937983	0.00534328062512632	0.00830734747019904	0.0548749297719766	0.0106849379782169	0.00713134309769144	0.00194987535034196	0	0.227466242329512	0	0	0.175	0.0917143645189168	1.09879369149788
GSM1607686	0	0	0	0.0337645183881678	0.0268994575310833	0	0	0.0521083137481828	0.123462841314111	0.000808731735515711	0	0.133423809550861	0	0.231148956869062	0.0199102502156783	0.0598972229193809	0	0.0262249705769363	0	0.292350927151021	0	0	0.214	0.0773317923161652	1.09671021572488
GSM1607687	0.0155923021541845	0	0	0	0	0.06829971556084	0.111828567736303	0.129239372175321	0	0.13321780197575	0	0.114665827354676	0	0.127058803106258	0.0864211929329669	0	0.00126588505035325	0.0301644194424267	0	0.18224611251092	0	0	0.21	0.0780103794293936	1.08042059815184
GSM1607688	0.0901611566386131	0	0.026034905813035	0.0541940745823164	0.120958217489264	0.0310029409278301	0.00575502945922716	0.108039042388785	0.176454779353722	0.0230401331231038	0	0.100291141824104	0.0218146120132448	0.038421847982416	0.0530863714900203	0.00985618178460864	0.0604472023303241	0.0189848757216834	0	0.0614574870777025	0	0	0.181	0.0892596946047921	1.06534541496453
GSM1607689	0	0.000569424203890787	0.0635508775426992	0.0570191765766134	0	0.0820487128459165	0	0.104902434508279	0.0454977181961505	0.039426396445027	0	0.133936006279679	0.0155313503134921	0.0555731990074261	0.0489112277064616	0.00936280492950665	0.0121743527457659	0.0101540683619191	0	0.320634868072402	0	0.00070738226477083	0.383	0.0404008050396973	1.10439939311016
GSM1607690	0	0.016777045589664	0.0221476199425258	0.0138053372182029	0	0.105369376519095	0.0142929277084759	0.125231501488991	0.0105640964475454	0.109107483819673	0	0.190849050933557	0	0.0730746922520039	0.105777073454113	0.0532731260543727	0.00154096753261877	0	0	0.156192378475622	0	0.0019973225635394	0.043	0.170924505935706	1.04642836315973
GSM1607691	0.009236839434237	0	0.2359214907127	0	0	0.101861725374269	0	0.0948459434252734	0	0.0529764217261731	0	0.0680980326431796	0.0632294780476056	0	0.0161441736868147	0	0.0999320043313588	0.0175595908573298	0	0.237119224721579	0.00307507503948064	0	0.8	-0.0114543294349218	1.07466330249728
GSM1607692	0.00658444696738453	0	0.13127586542065	0	0.0358379960941213	0.0399789797308944	0.039894581129395	0.0347482882116961	0	0.0636396661761612	0	0.0232139662020053	0	0.0450573931102519	0	0	0.01663356989972	0.0535740562068666	0	0.503934739032638	0	0.00562645181821583	0.483	0.0251135467999525	1.15334175622387
GSM1607693	0.0135888392412903	0	0	0.0654979694110178	0	0.0833594691599301	0.0114274341203358	0.0819517782244395	0.00330161627562764	0.105395209822434	0	0.17709652003669	0	0.176312746312069	0.0497834811699821	0.0505426061895889	0.0253217028569031	0	0	0.156420627179691	0	0	0.18	0.0899458928756903	1.08500217119084
