Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-4P-AA8J	0	0.0545445572222015	0	0.0571992221403867	0	0.0522951125939016	0	0.0574201691166351	0.0790010203598665	0	0	0.0713513323252966	0	0.193216067423096	0.0700745871034363	0.225624782241528	0.0155119849984016	0	0	0.119908673814641	0	0.00385249066060902	0	0.633089072464166	0.791025681465391
TCGA-BA-4074	0	0	0.0291709541706237	0.00585260336213348	0	0.149453909390904	0	0.015457747478789	0	0	0	0.0335347792864726	0	0	0.0993967686481472	0.182396453539829	0.0179607422449159	0.0813306521920431	0	0.359808238471964	0	0.025637151214179	0.00700000000000001	0.296938240767377	0.982482807306974
TCGA-BA-4075	0.000249387216938196	0	0.015374252665737	0.00172824019021656	0.00581798502743712	0.119318547221604	0	0	0	0	0	0.0407076147401602	0.0195788787258319	0.0283152834036774	0	0.196950500286157	0.0372088652766966	0.0304508954529277	0	0.411655414253766	0.0276267665759198	0.0650173689629302	0.01	0.28663356714744	0.995851566681555
TCGA-BA-4076	0	0	0.00554481949272617	0	0	0.0196690461244454	0	0.0409856012664553	0.0722372534871985	0.00114530709231385	0	0.0221538086411069	0	0.301909697974021	0	0.0138242805603691	0.0123149352163494	0.0742512124608183	0	0.427926608313626	0	0.00803742937056941	0.05	0.183438998906093	1.08572599455258
TCGA-BA-4077	0.00543094741999789	0	0.0170830859318015	0.08720465292409	0	0	0.0738602601824717	0.0385256903697942	0.0162743490297226	0	0	0.0620594947666324	0	0.121497594768749	0.257311383162149	0.195676680383807	0.0169076686249797	0.00444075657998372	0	0.103727435855821	0	0	0	0.563118872233605	0.826113433765123
TCGA-BA-4078	0.0321764938687924	0	0.0184521326177913	0.0418012827594909	0	0.214438573650367	0.00699456448420416	0.0702401504921693	0.0187866979188136	0	0.0179492252497142	0	0.0297321970394735	0	0.0498992361570466	0.322206883866985	0.106556421930908	0	0.0118344387878163	0.0589317011764278	0	0	0.00600000000000001	0.298912222142493	0.961516588816252
TCGA-BA-5149	0	0	0.0543896550788467	0.0358964640867671	0	0.243485477292991	0	0.0346517651852781	0	0	0	0.0728043880274813	0.00442738955480659	0.0505025261756608	0.137369974605422	0.109607466533012	0.0183521523051257	0.015869251234222	0	0.222643489920386	0	0	0.01	0.292430933604558	0.972240227471667
TCGA-BA-5151	0.00640893354320455	0	0.0298752851610618	0.0477060775646403	0	0.146306726597773	0	0.0408518134544615	0	0	0.0232981814475959	0	0.0223049812717118	0.00931735294788149	0.041510671572793	0.178166167181114	0.00596328257362018	0.076473016918164	0	0.265197072353415	0	0.106620437412563	0.005	0.299822142132532	0.966849755361007
TCGA-BA-5152	0	0	0.020370512006636	0.106115084626199	0	0	0.135246841056339	0.0512420080026284	0.058350812936998	0.016174682850977	0	0.0356483582619089	0	0	0.0735993038787806	0.189050519842037	0.0389926797661597	0.138029555307627	0	0.130073089804486	0	0.0071065516592221	0	0.359547710779863	0.934862075927964
TCGA-BA-5153	0.0228136386174986	0	0.0879925442145595	0.221880825326104	0	0.0494722718432015	0.153305731397121	0.0814694340618063	0.0264436803506065	0.00301054233860925	0	0.0786158804081942	0.0171360499161711	0.0595865387456935	0.0227561050033481	0.0815156542037351	0.0100169930486	0.0127936900194143	0	0.0686839353475246	0.00250648515781302	0	0.002	0.314585260470559	0.956053735526305
TCGA-BA-5555	0	0	0.159584185674759	0.0924763542740027	0	0.0198108521889888	0.0812434734492968	0.0427551683196307	0.034185613888684	0	0	0.0511343564990735	0.00153254922189321	0.066264985211982	0.141020201016563	0.222838849998744	0.0137323048406592	0.00740434733921465	0.0634026088921969	0	0	0.00261414918431172	0.011	0.280015022402781	0.968049010504293
TCGA-BA-5556	0.0313234206411061	0	0.028553374478895	0.20141300796872	0	0	0.0857176429322547	0.0367495559437132	0.0545498363122691	0	0	0.107854912070181	0.00917293732941239	0.00610224977252692	0.106961623340913	0.151565483778887	0.0109999880120741	0.0168431970745813	0	0.152192770344466	0	0	0	0.387753967489525	0.92362585230593
TCGA-BA-5557	0.000934675727503353	0	0	0.0194404182962755	0	0.0219601848617221	0	0.019387124381281	0.0255838759397161	0	0.00247793234582516	0	0	0.506055792435004	0.00206398240732645	0.0364444969750625	0	0.0157770840291201	0	0.303967296568868	0	0.0459071360322959	0	0.630950625082755	0.779233306974876
